segment,region,company_name,website,email,phone,target_title,source_url,notes,extra_col_1,extra_col_2,extra_col_3,extra_col_4,extra_col_5,extra_col_6,extra_col_7,extra_col_8,extra_col_9,extra_col_10,extra_col_11,extra_col_12,extra_col_13,extra_col_14,extra_col_15,extra_col_16,extra_col_17,extra_col_18,extra_col_19,extra_col_20,extra_col_21,extra_col_22,extra_col_23,extra_col_24,extra_col_25,extra_col_26,extra_col_27,extra_col_28,extra_col_29,extra_col_30,extra_col_31,extra_col_32,extra_col_33,extra_col_34,extra_col_35,extra_col_36,extra_col_37,extra_col_38,extra_col_39,extra_col_40,extra_col_41,business_category,business_type,business_group
Event companies,Midwest,Ace Chicago Events,https://www.acechicagoevents.com/,info@acechicagoevents.com,312-966-6800,Event Producer,https://www.acechicagoevents.com/,Email and phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,Blue Harbor Resort,https://www.blueharborresort.com/,info@blueharborresort.com,1-866-701-2583,Event Planner,https://www.blueharborresort.com/,Email and phone found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,Blueprint Events,https://blueprinteventsllc.com,kennedy@blueprinteventsllc.com,608-709-1915,Event Planner,https://blueprinteventsllc.com/blueprint-events-contact,Email and phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,Cloud9 Midwest Events,https://cloud9midwestevents.com,chris@cloud9admins.com,6205068403,Event Organizer,https://cloud9midwestevents.com/,Email and phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,Do Good Events,https://dogoodevents.com/,info@dogoodevents.com,612-293-9420,Event Planner,https://dogoodevents.com/contact/,Email and phone found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,Elevoque Business Events,https://www.elevoque.com/,info@elevoque.com,312-854-9282,Event Planner,https://www.elevoque.com/contact,Email and phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,elleaevents,https://www.elleaevents.com,info@elleaevents.com,310-925-3999,Event Coordinator,https://www.elleaevents.com/,Email and phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,Event Concepts,https://eventconcepts.us/,eventconcepts.us@gmail.com,2244411256,Event Planner,https://eventconcepts.us/contact-us,Phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,Event Lab,https://eventlab.net,jhansen@eventlab.net,952-224-8558,Chief Executive Officer,https://eventlab.net,General contact email and phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,Events by Melody,https://eventsbymelodymn.com/,info@eventsbymelodymn.com,952.388.3622,Event Planner,https://eventsbymelodymn.com/contact,Email and phone found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,Exciting Events,https://www.excitingevents.com/,sales@excitingevents.com,262-797-8880,Event Planner,https://www.excitingevents.com/contact,Email and phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
