segment,region,company_name,website,email,phone,target_title,source_url,notes,extra_col_1,extra_col_2,extra_col_3,extra_col_4,extra_col_5,extra_col_6,extra_col_7,extra_col_8,extra_col_9,extra_col_10,extra_col_11,extra_col_12,extra_col_13,extra_col_14,extra_col_15,extra_col_16,extra_col_17,extra_col_18,extra_col_19,extra_col_20,extra_col_21,extra_col_22,extra_col_23,extra_col_24,extra_col_25,extra_col_26,extra_col_27,extra_col_28,extra_col_29,extra_col_30,extra_col_31,extra_col_32,extra_col_33,extra_col_34,extra_col_35,extra_col_36,extra_col_37,extra_col_38,extra_col_39,extra_col_40,extra_col_41,business_category,business_type,business_group
Event companies,Midwest,Industry 828,https://industry.828venues.com/services/corporate-planning/,party@industry.828venues.com,317-561-0028,Event Planner,https://industry.828venues.com/services/corporate-planning/,Email and phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Planner,Event Services Company
Event companies,Midwest,M&M Event Planners,https://mmeventplanners.com/,info@mmeventplanners.com,7087177552,Event Planner,https://mmeventplanners.com/contact/,Email and phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Planner,Event Services Company
Event companies,Northeast,LeslieJames Events,lesliejamesevents.com,kelly@lesliejamesevents.com,8574981516,Owner and Lead Planner,https://www.lesliejamesevents.com/contact,Found email and phone on contact page. Kelly Boyle is the Owner and Lead Planner.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Planner,Event Services Company
Event companies,Texas,Julian Leaver Events,https://www.partyslate.com/vendors/julian-leaver-events,support@partyslate.com,842-1032316,Chief Executive Officer,/home/ubuntu/partyslate_dallas_event_planners.md,Extracted from public website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Planner,Event Services Company
Event planners,Northeast,AE Events,https://aeevents.com/,info@aeevents.com,(617) 879-9779,Founder,https://www.partyslate.com/vendors/ae-events,Christine Altieri is the founder. | Direct profile data from Eventective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Planner,Event Planning Services
Event planners,Northeast,AJ Events,https://ajwevents.com/,info@ajwevents.com,617-267-2244,Founder + Executive Producer,https://www.partyslate.com/vendors/aj-events,"AJ Williams is the Founder + Executive Producer. | AJ Williams is the founder. Multiple emails are listed, using the general AJ email. | Direct profile data from Eventective",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Planner,Event Planning Services
Event planners,Northeast,Brilliant Event Planning,https://brillianteventplanning.com/,chelsea@brillianteventplanning.com,917.789.6656,Owner/Lead Planner,https://brillianteventplanning.com/contact,Chelsea is likely a lead planner or owner based on the email address.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Planner,Event Planning Services
Event planners,Northeast,Bruce Russell Events,https://brucerussellevents.com/,hello@brucerussellevents.com,+44 (0)20 8087 2511,Founder & MD,https://www.partyslate.com/vendors/bruce-russell-events,Bruce Russell is the Founder & MD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Planner,Event Planning Services
Event planners,Northeast,Califano - Destination Event Planner,https://califanoproductions.com/,enquiries@califanoproductions.com,+44 (0) 207 101 3114,Founder,https://www.partyslate.com/vendors/califano-destination-event-planner,Found on PartySlate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Planner,Event Planning Services
Event planners,Northeast,Events By Sorrell,https://eventsbysorrell.com/,sorrell@eventsbysorrell.com,603-547-0021,Owner/Lead Planner,https://eventsbysorrell.com/,Sorrell Downing is the owner and lead planner. Contact information found at the bottom of the page.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Planner,Event Planning Services
