segment,region,company_name,website,email,phone,target_title,source_url,notes,extra_col_1,extra_col_2,extra_col_3,extra_col_4,extra_col_5,extra_col_6,extra_col_7,extra_col_8,extra_col_9,extra_col_10,extra_col_11,extra_col_12,extra_col_13,extra_col_14,extra_col_15,extra_col_16,extra_col_17,extra_col_18,extra_col_19,extra_col_20,extra_col_21,extra_col_22,extra_col_23,extra_col_24,extra_col_25,extra_col_26,extra_col_27,extra_col_28,extra_col_29,extra_col_30,extra_col_31,extra_col_32,extra_col_33,extra_col_34,extra_col_35,extra_col_36,extra_col_37,extra_col_38,extra_col_39,extra_col_40,extra_col_41,business_category,business_type,business_group
Event companies,Midwest,BW Studio + Events,https://www.bwstudioevents.com/,blair@bwstudioevents.com,773.707.6464,Event Planner,https://www.bwstudioevents.com/contact,Email and phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Midwest,Conradie Event Design,https://www.conradieeventdesign.com/,melissa@conradieeventdesign.info,2316458910,Event Planner,https://www.conradieeventdesign.com/contact-us,Email and phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Midwest,Creative Impact Group,https://creativeimpactgroup.com/,info@creativeimpactgroup.com,800.445.2171,Event Producer,https://creativeimpactgroup.com/#contact,Email and phone found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Midwest,Cygnet Events And Design,https://cygneteventsanddesign.com/,kate@cygneteventsanddesign.com,(312) 504-1478,Event Planner,https://cygneteventsanddesign.com/contact/,Email and phone found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Midwest,Kehoe Designs,https://kehoedesigns.com/,info@kehoedesigns.com,312-421-0040,Event Designer,https://kehoedesigns.com/contact,Email and phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Midwest,MDM Chicago Event Production,https://mdmentertainment.com/,info@mdmentertainment.com,773.253.4986,Event Producer,https://mdmentertainment.com/,Email and phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Midwest,Midwest DJ Productions,https://midwestdjproductions.com/,info@midwestdjproductions.com,2622204590,DJ Services Manager,https://midwestdjproductions.com/contact,Email and phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Midwest,Midwest Sound DJ Entertainment,https://www.midwestsound.com/,hello@midwestsound.com,6516444111,DJ Entertainment Service Provider,https://www.midwestsound.com/corporate,Email and phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Midwest,Passion Events Design,https://passioneventsdesign.com/,contact@passioneventsdesign.com,(240) 215-0146,Event Planner,https://passioneventsdesign.com/contact/,Email and phone found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Northeast,Marissa Pedone Events,marissapedoneevents.com,marissa@marissapedoneevents.com,9787589647,Owner and Creative Director,https://www.marissapedoneevents.com/contact,Found email and phone on contact page. Marissa Pedone is the Owner and Creative Director.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Northeast,Rafanelli Events,rafanellievents.com,eventinquiries@rafanellievents.com,8885931220,CEO and Chief Creative Officer,https://www.rafanellievents.com/contact/,Found email and phone on contact page. Bryan Rafanelli is the CEO and Chief Creative Officer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Northeast,Socialite by Design,socialitebydesign.com,socialitebydesignteam@gmail.com,8572310312,Event Planner,https://www.socialitebydesign.com/contact,Found email and phone on contact page.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Northeast,TYGER Productions,tygerproductions.com,tygerboston@tygerproductions.com,6175802413,Founder & Creative Director,https://www.tygerproductions.com/,Found email and phone on contact page. Ty Kuppig is the Founder & Creative Director.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Northeast,Unique Melody Events & Design,uniquemelodyevents.com,yvonne@uniquemelodyevents.com,7742757105,Event Planner,https://uniquemelodyevents.com/contact,Found email and phone on contact page.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Midwest,Fierce Productions,https://www.fierce-productions.com/,info@fierce-productions.com,,Event Planner,https://www.fierce-productions.com/contact,Email found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Midwest,LOLA Event Productions,https://lolaeventproductions.com/,info@lolaeventproductions.com,,Event Planner,https://lolaeventproductions.com/contact/,Email found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Midwest,Midwest Meets Design,https://midwestmeetsdesign.com/,hello@midwestmeetsdesign.com,,Event Planner,https://midwestmeetsdesign.com/contact,Email found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
